Movie_ID,Title,Release_Date,Release_Year,Genre,Sub_Genre,Language,Country,Director,Production_Company,Budget_USD,Revenue_USD,Runtime_Min,IMDb_Rating,User_Rating,Vote_Count,Popularity_Score,OTT_Platform,OTT_Available,OTT_Release_Date,Content_Type,Age_Rating,Awards_Count,Franchise,Sequel
MV00011,Interstellar,2010-07-07,2010,Sci-Fi/Drama,Drama,English,USA,Christopher Nolan,Paramount Pictures,33968000.0,133922000.0,127,6.0,5.8,497,45.84,JioCinema,Yes,2011-03-29,Movie,PG-13,1,Toy Story,No
MV00012,Inception,2010-08-10,2010,Sci-Fi/Thriller,Thriller,English,USA,Christopher Nolan,Warner Bros.,33631000.0,120836000.0,96,6.8,6.9,238,53.01,Netflix,Yes,2010-09-19,Movie,U/A,3,DC Universe,No
MV00013,Jai Bhim,2023-03-19,2023,Drama/Legal,Legal,Tamil,India,T. J. Gnanavel,2D Entertainment,8093000.0,184735841.0,122,8.6,8.2,3741,38.83,Disney+,Yes,2023-09-01,Movie,16+,5,,No
MV00014,The Godfather,2020-02-15,2020,Crime/Drama,Drama,English,USA,Francis Ford Coppola,Paramount Pictures,4369000.0,19207494.0,126,6.1,6.4,726,71.97,Netflix,Yes,2020-08-20,Movie,16+,1,,No
MV00015,Jai Bhim,2003-01-10,2003,Drama/Legal,Legal,Tamil,India,T. J. Gnanavel,2D Entertainment,26263000.0,112082000.0,114,9.3,9.4,1591,63.49,Netflix,Yes,2003-07-17,Series,PG-13,3,Harry Potter,Yes
MV00016,Zindagi Na Milegi Dobara,2007-06-22,2007,Adventure/Comedy,Comedy,Hindi,India,Zoya Akhtar,Excel Entertainment,25720000.0,113315000.0,140,6.9,6.3,834,65.94,Hulu,Yes,2008-09-30,Series,PG,3,,No
MV00017,Titanic,2023-10-12,2023,Romance/Drama,Drama,English,USA,James Cameron,20th Century Fox,27829000.0,1066845000.0,137,5.2,5.0,13449,49.72,Not Available,No,,Movie,18+,3,Star Wars,Yes
MV00018,Pushpa: The Rise,2002-08-06,2002,Action/Drama,Drama,Telugu,India,Sukumar,Mythri Movie Makers,170164000.0,158912000.0,139,7.7,8.2,4392,47.18,Netflix,Yes,2002-10-25,Movie,U,2,Pushpa,Yes
MV00019,Lagaan,2021-06-01,2021,Drama/Sport,Sport,Hindi,India,Ashutosh Gowariker,Aamir Khan Productions,30125000.0,73335000.0,92,7.0,6.9,56516,42.41,JioCinema,Yes,2022-01-17,Movie,R,1,,No
MV00020,Andhadhun,2020-12-23,2020,Crime/Thriller,Thriller,Hindi,India,Sriram Raghavan,Matchbox Pictures,78049000.0,108315000.0,115,7.5,6.9,31033,36.72,Prime Video,Yes,2021-07-19,Movie,16+,0,,No
MV00021,Gully Boy,2001-07-10,2001,Drama/Music,Music,Hindi,India,Zoya Akhtar,Excel Entertainment,27752000.0,76448000.0,102,6.5,6.4,900,50.2,Netflix,Yes,2002-07-17,Movie,U/A,1,,No
MV00022,The Shawshank Redemption,2023-09-14,2023,Drama,Drama,English,USA,Frank Darabont,Castle Rock Entertainment,38010000.0,329828000.0,87,5.7,5.4,344,46.35,Not Available,No,,Movie,U/A,1,,No
MV00023,Master,2011-12-23,2011,Action/Drama,Drama,Tamil,India,Lokesh Kanagaraj,XB Film Creators,6211000.0,12570984.0,70,7.0,7.0,347,50.93,Netflix,Yes,2012-02-01,Movie,R,0,Jurassic,No
MV00024,The Godfather,2005-08-04,2005,Crime/Drama,Drama,English,USA,Francis Ford Coppola,Paramount Pictures,10165000.0,31834725.0,136,7.5,7.6,2383,55.12,Netflix,Yes,2006-03-11,Series,PG-13,1,Mission Impossible,Yes
MV00025,Andhadhun,2001-09-01,2001,Crime/Thriller,Thriller,Hindi,India,Sriram Raghavan,Matchbox Pictures,304239000.0,1555128000.0,117,7.7,7.2,6667,67.11,Prime Video,Yes,2002-10-14,Movie,PG-13,3,Marvel Universe,No
MV00026,K.G.F: Chapter 2,2020-08-03,2020,Action/Crime,Crime,Kannada,India,Prashanth Neel,Hombale Films,25161000.0,10984000.0,70,7.6,7.4,335,54.13,Not Available,No,,Movie,R,2,K.G.F,Yes
MV00027,K.G.F: Chapter 1,2000-01-02,2000,Action/Crime,Crime,Kannada,India,Prashanth Neel,Hombale Films,29369000.0,61880000.0,80,7.7,7.2,2021,74.82,Prime Video,Yes,2000-03-25,Movie,PG,3,K.G.F,No
MV00028,Parasite,2011-06-05,2011,Drama/Thriller,Thriller,Korean,South Korea,Bong Joon Ho,Barunson E&A,56792000.0,64894000.0,70,6.3,6.6,7351,41.76,Netflix,Yes,2012-05-04,Movie,16+,2,Marvel Universe,No
MV00029,Taare Zameen Par,2025-03-09,2025,Drama,Drama,Hindi,India,Aamir Khan,Aamir Khan Productions,20639000.0,110298000.0,137,6.9,6.6,2184,59.49,Prime Video,Yes,2025-10-04,Movie,18+,0,Star Wars,No
MV00030,RRR,2021-08-03,2021,Action/Drama,Drama,Telugu,India,S. S. Rajamouli,DVV Entertainment,11821000.0,79151631.0,100,6.9,7.2,3726,49.86,HBO Max,Yes,2022-06-27,Movie,U,0,,No
MV00031,K.G.F: Chapter 2,2011-02-08,2011,Action/Crime,Crime,Kannada,India,Prashanth Neel,Hombale Films,11096000.0,22056878.0,106,7.2,7.5,755,39.17,Not Available,No,,Series,U/A,4,K.G.F,Yes
MV00032,Interstellar,2024-05-15,2024,Sci-Fi/Drama,Drama,English,USA,Christopher Nolan,Paramount Pictures,54425000.0,101132000.0,95,4.3,4.2,2343,29.25,Prime Video,Yes,2025-01-13,Movie,U/A,0,Mission Impossible,Yes
MV00033,Pushpa: The Rise,2016-09-01,2016,Action/Drama,Drama,Telugu,India,Sukumar,Mythri Movie Makers,67043000.0,62270000.0,133,6.4,6.5,3349,74.79,HBO Max,Yes,2017-03-03,Series,16+,1,Pushpa,Yes
MV00034,Barfi!,2009-10-19,2009,Comedy/Drama,Drama,Hindi,India,Anurag Basu,UTV Motion Pictures,38169000.0,12337000.0,114,8.1,8.2,721,60.36,Prime Video,Yes,2009-12-07,Series,U,6,Marvel Universe,Yes
MV00035,Drishyam,2015-05-18,2015,Crime/Thriller,Thriller,Hindi,India,Nishikant Kamat,Panorama Studios,2683000.0,4221656.0,115,9.3,9.5,7317,71.57,Apple TV+,Yes,2016-09-16,Series,PG,4,,No
MV00036,Pathaan,2014-03-04,2014,Action/Thriller,Thriller,Hindi,India,Siddharth Anand,Yash Raj Films,9207000.0,16122803.0,143,6.2,6.4,488,61.55,Netflix,Yes,2015-05-23,Movie,PG-13,3,,No
MV00037,Gully Boy,2014-04-11,2014,Drama/Music,Music,Hindi,India,Zoya Akhtar,Excel Entertainment,39264000.0,107440000.0,101,7.5,7.9,2546,61.62,HBO Max,Yes,2014-10-19,Series,PG-13,1,DC Universe,No
MV00038,Andhadhun,2018-09-01,2018,Crime/Thriller,Thriller,Hindi,India,Sriram Raghavan,Matchbox Pictures,33210000.0,104273000.0,125,7.4,7.0,31785,56.26,Netflix,Yes,2019-04-10,Movie,PG-13,0,,No
MV00039,Queen,2011-12-25,2011,Comedy/Drama,Drama,Hindi,India,Vikas Bahl,Phantom Films,12020000.0,96167471.0,95,7.1,7.0,1808,30.48,Not Available,No,,Movie,PG,2,,No
MV00040,Kabhi Khushi Kabhie Gham,2022-09-11,2022,Drama/Romance,Romance,Hindi,India,Karan Johar,Dharma Productions,75941000.0,93521000.0,131,9.2,9.3,17475,63.56,Not Available,No,,Movie,PG,3,,No
MV00041,Titanic,2019-06-27,2019,Romance/Drama,Drama,English,USA,James Cameron,20th Century Fox,19662000.0,30985000.0,94,6.4,6.7,1914,55.46,Hulu,Yes,2020-03-08,Series,R,2,,Yes
MV00042,Baahubali: The Beginning,2024-01-27,2024,Action/Drama,Drama,Telugu,India,S. S. Rajamouli,Arka Media Works,28630000.0,120796000.0,201,6.9,7.0,83,66.61,Not Available,No,,Movie,PG,2,Baahubali,No
MV00043,Lagaan,2002-12-22,2002,Drama/Sport,Sport,Hindi,India,Ashutosh Gowariker,Aamir Khan Productions,19808000.0,79657000.0,126,6.9,6.8,12444,55.09,Apple TV+,Yes,2004-01-05,Series,16+,3,,No
MV00044,Barfi!,2004-08-16,2004,Comedy/Drama,Drama,Hindi,India,Anurag Basu,UTV Motion Pictures,40185000.0,58315000.0,130,5.9,6.2,1011,49.97,Prime Video,Yes,2005-05-06,Movie,16+,3,,No
MV00045,Bajrangi Bhaijaan,2018-05-21,2018,Comedy/Drama,Drama,Hindi,India,Kabir Khan,Salman Khan Films,149370000.0,961746000.0,118,7.8,7.7,345,66.04,Netflix,Yes,2018-12-10,Movie,PG-13,2,,No
MV00046,Pushpa: The Rise,2006-01-17,2006,Action/Drama,Drama,Telugu,India,Sukumar,Mythri Movie Makers,5431000.0,16951680.0,125,6.9,7.0,3503,67.69,Not Available,No,,Series,PG,4,Pushpa,No
MV00047,Interstellar,2020-08-21,2020,Sci-Fi/Drama,Drama,English,USA,Christopher Nolan,Paramount Pictures,3312000.0,26610944.0,115,6.3,5.8,2729,56.23,Prime Video,Yes,2021-05-17,Movie,16+,3,,No
MV00048,3 Idiots,2008-08-10,2008,Comedy/Drama,Drama,Hindi,India,Rajkumar Hirani,Aamir Khan Productions,40941000.0,210960000.0,119,6.6,6.4,5814,42.66,ZEE5,Yes,2010-01-04,Movie,U,1,,No
MV00049,Drishyam,2006-02-15,2006,Crime/Thriller,Thriller,Hindi,India,Nishikant Kamat,Panorama Studios,15597000.0,36955000.0,130,6.4,6.9,4417,40.96,HBO Max,Yes,2006-10-02,Movie,PG,3,Star Wars,No
MV00050,Barfi!,2017-04-13,2017,Comedy/Drama,Drama,Hindi,India,Anurag Basu,UTV Motion Pictures,43210000.0,48303000.0,70,6.4,6.4,2105,48.23,Prime Video,Yes,2018-08-10,Movie,16+,1,,No
MV00051,Forrest Gump,2003-11-10,2003,Drama/Romance,Romance,English,USA,Robert Zemeckis,Paramount Pictures,40426000.0,33636000.0,128,6.1,6.0,244,38.21,Prime Video,Yes,2005-02-08,Series,18+,2,DC Universe,Yes
MV00052,Jawan,2024-09-13,2024,Action/Thriller,Thriller,Hindi,India,Atlee,Red Chillies Entertainment,345877000.0,168846000.0,168,8.7,8.7,1261,33.59,ZEE5,Yes,2025-11-21,Movie,PG-13,3,,No
MV00053,Gully Boy,2013-03-22,2013,Drama/Music,Music,Hindi,India,Zoya Akhtar,Excel Entertainment,53084000.0,59888000.0,146,4.3,4.4,394,38.31,ZEE5,Yes,2014-07-07,Movie,U,4,,No
MV00054,Zindagi Na Milegi Dobara,2017-11-23,2017,Adventure/Comedy,Comedy,Hindi,India,Zoya Akhtar,Excel Entertainment,56993000.0,58553000.0,142,5.7,5.5,1846,56.73,Not Available,No,,Movie,18+,4,,No
MV00055,Kahaani,2025-03-01,2025,Mystery/Thriller,Thriller,Hindi,India,Sujoy Ghosh,Bound Script Production,17201000.0,41889000.0,92,5.2,4.9,1612,48.89,SonyLIV,Yes,2026-03-04,Movie,R,3,,No
MV00056,Kantara,2008-02-11,2008,Action/Drama,Drama,Kannada,India,Rishab Shetty,Hombale Films,11148000.0,80828030.0,101,6.0,6.1,2644,35.29,Netflix,Yes,2009-07-09,Movie,PG,1,Jurassic,No
MV00057,Pathaan,2025-10-07,2025,Action/Thriller,Thriller,Hindi,India,Siddharth Anand,Yash Raj Films,169339000.0,202927000.0,142,5.1,4.9,1540,52.89,Disney+,Yes,2026-01-17,Movie,16+,2,DC Universe,Yes
MV00058,Barfi!,2020-07-28,2020,Comedy/Drama,Drama,Hindi,India,Anurag Basu,UTV Motion Pictures,79634000.0,57441000.0,123,8.3,8.4,4127,68.96,ZEE5,Yes,2021-01-01,Movie,18+,4,,No
MV00059,Pushpa: The Rise,2001-01-26,2001,Action/Drama,Drama,Telugu,India,Sukumar,Mythri Movie Makers,177077000.0,183161000.0,109,7.2,6.9,2313,80.94,Not Available,No,,Series,U,2,Pushpa,No
MV00060,Andhadhun,2019-07-15,2019,Crime/Thriller,Thriller,Hindi,India,Sriram Raghavan,Matchbox Pictures,64989000.0,103288000.0,118,6.9,6.9,12997,37.58,ZEE5,Yes,2020-11-18,Movie,PG,2,,No
MV00061,The Shawshank Redemption,2014-10-11,2014,Drama,Drama,English,USA,Frank Darabont,Castle Rock Entertainment,6914000.0,69344057.0,160,7.5,7.2,20993,58.27,Hulu,Yes,2015-04-03,Movie,U,0,,No
MV00062,Dilwale Dulhania Le Jayenge,2006-06-27,2006,Romance/Drama,Drama,Hindi,India,Aditya Chopra,Yash Raj Films,143686000.0,162189000.0,92,7.7,7.8,1504,56.29,ZEE5,Yes,2007-03-02,Movie,PG,1,,No
MV00063,Pulp Fiction,2011-06-07,2011,Crime/Drama,Drama,English,USA,Quentin Tarantino,Miramax,269471000.0,167593000.0,90,6.8,7.0,977,30.68,Disney+,Yes,2012-08-01,Series,18+,1,Fast & Furious,Yes
MV00064,Titanic,2007-07-01,2007,Romance/Drama,Drama,English,USA,James Cameron,20th Century Fox,16876000.0,30509000.0,70,7.4,7.6,1188,37.74,Hulu,Yes,2008-01-10,Movie,R,3,,No
MV00065,The Shawshank Redemption,2014-10-21,2014,Drama,Drama,English,USA,Frank Darabont,Castle Rock Entertainment,17274000.0,9196000.0,96,6.6,6.9,957,65.19,JioCinema,Yes,2015-05-22,Movie,PG,4,Marvel Universe,Yes
MV00066,Inception,2002-08-24,2002,Sci-Fi/Thriller,Thriller,English,USA,Christopher Nolan,Warner Bros.,23023000.0,35074000.0,124,8.6,8.5,3100,65.59,HBO Max,Yes,2003-03-21,Movie,PG,5,Jurassic,No
MV00067,Baahubali: The Beginning,2013-03-03,2013,Action/Drama,Drama,Telugu,India,S. S. Rajamouli,Arka Media Works,39657000.0,87993000.0,142,6.5,6.6,4858,23.41,Prime Video,Yes,2013-09-03,Series,PG-13,2,Baahubali,No
MV00068,K.G.F: Chapter 1,2016-07-15,2016,Action/Crime,Crime,Kannada,India,Prashanth Neel,Hombale Films,23980000.0,52105000.0,131,6.4,6.8,8070,55.23,Not Available,No,,Movie,PG,3,K.G.F,No
MV00069,Dilwale Dulhania Le Jayenge,2003-04-06,2003,Romance/Drama,Drama,Hindi,India,Aditya Chopra,Yash Raj Films,233429000.0,1492554000.0,143,6.8,7.0,768,59.74,JioCinema,Yes,2003-11-11,Movie,R,3,Marvel Universe,Yes
MV00070,Pathaan,2017-09-10,2017,Action/Thriller,Thriller,Hindi,India,Siddharth Anand,Yash Raj Films,10969000.0,208009549.0,136,4.8,4.5,1007,37.52,Prime Video,Yes,2019-01-08,Movie,16+,2,,No
MV00071,Drishyam,2007-02-16,2007,Crime/Thriller,Thriller,Hindi,India,Nishikant Kamat,Panorama Studios,32055000.0,123706000.0,88,7.2,6.9,1157,43.45,Netflix,Yes,2008-04-24,Movie,PG-13,2,Marvel Universe,No
MV00072,Pulp Fiction,2003-02-06,2003,Crime/Drama,Drama,English,USA,Quentin Tarantino,Miramax,16194000.0,103133000.0,115,7.8,7.8,2774,35.52,SonyLIV,Yes,2003-09-06,Movie,U/A,4,DC Universe,Yes
MV00073,Inception,2001-03-17,2001,Sci-Fi/Thriller,Thriller,English,USA,Christopher Nolan,Warner Bros.,54986000.0,119197000.0,84,8.1,8.2,2106,35.93,Hulu,Yes,2001-09-28,Series,16+,3,,No
MV00074,Baahubali 2: The Conclusion,2005-02-13,2005,Action/Drama,Drama,Telugu,India,S. S. Rajamouli,Arka Media Works,304981000.0,4258523000.0,92,7.8,7.6,10538,69.28,,Yes,2006-03-20,Movie,R,1,Baahubali,Yes
MV00075,Kantara,2021-07-20,2021,Action/Drama,Drama,Kannada,India,Rishab Shetty,Hombale Films,15941000.0,14727000.0,124,7.0,7.2,4588,28.93,Not Available,No,,Movie,16+,2,,No
MV00076,Barfi!,2009-12-02,2009,Comedy/Drama,Drama,Hindi,India,Anurag Basu,UTV Motion Pictures,22309000.0,108944000.0,105,7.6,8.2,2794,47.89,Disney+,Yes,2010-10-11,Movie,PG-13,0,,No
MV00077,Rockstar,2003-11-12,2003,Drama/Music,Music,Hindi,India,Imtiaz Ali,Eros International,15654000.0,75035000.0,142,6.5,6.5,1739,46.82,Netflix,Yes,2004-12-31,Movie,U/A,1,,No
MV00078,The Godfather,2021-12-24,2021,Crime/Drama,Drama,English,USA,Francis Ford Coppola,Paramount Pictures,128036000.0,775290000.0,116,7.7,7.9,1111,64.29,Prime Video,Yes,2022-12-28,Movie,18+,2,,No
MV00079,3 Idiots,2017-04-04,2017,Comedy/Drama,Drama,Hindi,India,Rajkumar Hirani,Aamir Khan Productions,204562000.0,183411000.0,118,6.0,6.2,2081,42.53,SonyLIV,Yes,2018-03-30,Series,U,1,,No
MV00080,Stree,2025-02-16,2025,Comedy/Horror,Horror,Hindi,India,Amar Kaushik,Maddock Films,165776000.0,907328000.0,81,5.7,6.0,350,26.77,Not Available,No,,Movie,PG,1,,No
MV00081,Rockstar,2011-01-17,2011,Drama/Music,Music,Hindi,India,Imtiaz Ali,Eros International,28208000.0,15866000.0,169,6.9,7.1,4351,22.84,SonyLIV,Yes,2011-08-24,Movie,U/A,2,,No
MV00082,Vikram,2001-03-06,2001,Action/Thriller,Thriller,Tamil,India,Lokesh Kanagaraj,Raaj Kamal Films International,31047000.0,62798000.0,99,6.1,6.2,463,48.32,Netflix,Yes,2002-08-02,Series,U,2,,No
MV00083,Rockstar,2009-07-13,2009,Drama/Music,Music,Hindi,India,Imtiaz Ali,Eros International,36027000.0,235234000.0,148,5.2,5.3,198364,42.44,SonyLIV,Yes,2009-09-11,Movie,18+,2,,No
MV00084,Stree,2003-09-21,2003,Comedy/Horror,Horror,Hindi,India,Amar Kaushik,Maddock Films,113786000.0,820131000.0,98,8.0,8.4,16067,55.69,Prime Video,Yes,2004-10-19,Series,U/A,1,,No
MV00085,Lagaan,2013-09-08,2013,Drama/Sport,Sport,Hindi,India,Ashutosh Gowariker,Aamir Khan Productions,13627000.0,38782058.0,112,6.0,6.1,1284,26.09,Disney+,Yes,2014-06-09,Movie,18+,1,Fast & Furious,Yes
MV00086,Bajrangi Bhaijaan,2015-01-16,2015,Comedy/Drama,Drama,Hindi,India,Kabir Khan,Salman Khan Films,58661000.0,491635000.0,72,4.8,4.9,42084,50.1,Hulu,Yes,2016-03-04,Movie,R,1,,Yes
MV00087,Taare Zameen Par,2014-11-28,2014,Drama,Drama,Hindi,India,Aamir Khan,Aamir Khan Productions,,11957000.0,146,6.3,6.3,631,24.12,Disney+,Yes,2016-01-20,Movie,PG,2,Harry Potter,No
MV00088,Jai Bhim,2007-03-24,2007,Drama/Legal,Legal,Tamil,India,T. J. Gnanavel,2D Entertainment,185182000.0,549425000.0,125,6.1,6.4,5702,65.74,Not Available,No,,Movie,U,3,Marvel Universe,No
MV00089,Barfi!,2013-09-14,2013,Comedy/Drama,Drama,Hindi,India,Anurag Basu,UTV Motion Pictures,5035000.0,189877116.0,70,5.5,5.7,15614,35.79,JioCinema,Yes,2014-06-09,Movie,R,1,,No
MV00090,Kabhi Khushi Kabhie Gham,2022-04-14,2022,Drama/Romance,Romance,Hindi,India,Karan Johar,Dharma Productions,18417000.0,35319000.0,133,6.4,6.5,16345,50.88,Apple TV+,Yes,2022-08-25,Movie,PG,1,,No
MV00091,Baahubali: The Beginning,2024-12-06,2024,Action/Drama,Drama,Telugu,India,S. S. Rajamouli,Arka Media Works,46084000.0,184614000.0,108,6.9,6.7,1492,84.63,HBO Max,Yes,2025-03-26,Movie,PG,8,Baahubali,Yes
MV00092,Kahaani,2007-04-13,2007,Mystery/Thriller,Thriller,Hindi,India,Sujoy Ghosh,Bound Script Production,23785000.0,8666000.0,171,7.1,6.9,1551,55.21,Disney+,Yes,2008-08-24,Series,U/A,4,,No
MV00093,Drishyam,2020-09-02,2020,Crime/Thriller,Thriller,Hindi,India,Nishikant Kamat,Panorama Studios,64964000.0,72868000.0,98,5.5,5.4,6791,43.61,Disney+,Yes,2020-12-25,Movie,18+,1,,No
MV00094,Kantara,2015-06-27,2015,Action/Drama,Drama,Kannada,India,Rishab Shetty,Hombale Films,24156000.0,123975000.0,92,7.2,7.0,25468,41.08,Hulu,Yes,2016-03-14,Movie,U,0,Fast & Furious,No
MV00095,K.G.F: Chapter 2,2012-03-10,2012,Action/Crime,Crime,Kannada,India,Prashanth Neel,Hombale Films,17581000.0,66556000.0,137,5.2,5.2,3016,40.45,ZEE5,Yes,2013-07-09,Movie,U/A,1,K.G.F,Yes
MV00096,Zindagi Na Milegi Dobara,2017-04-02,2017,Adventure/Comedy,Comedy,Hindi,India,Zoya Akhtar,Excel Entertainment,30399000.0,26247000.0,121,4.8,4.7,2654,43.77,Prime Video,Yes,2017-05-15,Movie,16+,0,,No
MV00097,Gully Boy,2014-11-24,2014,Drama/Music,Music,Hindi,India,Zoya Akhtar,Excel Entertainment,3002000.0,45370445.0,113,6.8,6.4,27907,67.06,Not Available,No,,Movie,18+,1,,Yes
MV00098,Master,2020-10-08,2020,Action/Drama,Drama,Tamil,India,Lokesh Kanagaraj,XB Film Creators,21561000.0,155369000.0,110,4.0,4.1,1125,14.92,Prime Video,Yes,2021-11-22,Movie,U/A,0,,No
MV00099,The Shawshank Redemption,2023-01-26,2023,Drama,Drama,English,USA,Frank Darabont,Castle Rock Entertainment,18869000.0,80305000.0,119,8.9,8.7,2740,82.86,SonyLIV,Yes,2024-03-30,Series,R,7,Marvel Universe,No
MV00100,Baahubali: The Beginning,2025-06-01,2025,Action/Drama,Drama,Telugu,India,S. S. Rajamouli,Arka Media Works,38682000.0,61760000.0,101,6.6,6.0,1695,25.46,JioCinema,Yes,2025-08-31,Movie,PG-13,1,Baahubali,No
MV00101,Drishyam,2024-06-07,2024,Crime/Thriller,Thriller,Hindi,India,Nishikant Kamat,Panorama Studios,27573000.0,136239000.0,70,7.3,7.2,6887,82.77,ZEE5,Yes,2024-12-16,Movie,U,2,,No
MV00102,K.G.F: Chapter 1,2012-02-09,2012,Action/Crime,Crime,Kannada,India,Prashanth Neel,Hombale Films,133802000.0,515356000.0,100,6.8,7.0,3720,67.67,Disney+,Yes,2012-03-14,Movie,R,3,K.G.F,Yes
MV00103,Dangal,2008-08-25,2008,Biography/Drama,Drama,Hindi,India,Nitesh Tiwari,Aamir Khan Productions,146400000.0,552465000.0,108,7.1,7.0,2247,61.26,Disney+,Yes,2009-03-14,Movie,PG-13,4,Fast & Furious,No
MV00104,Jawan,2014-10-04,2014,Action/Thriller,Thriller,Hindi,India,Atlee,Red Chillies Entertainment,107290000.0,206638000.0,128,4.8,4.8,9023,39.7,SonyLIV,Yes,2015-12-02,Movie,PG,2,,No
MV00105,Jawan,2012-04-28,2012,Action/Thriller,Thriller,Hindi,India,Atlee,Red Chillies Entertainment,17841000.0,40745000.0,108,6.2,6.2,687,57.84,Not Available,No,,Movie,U/A,2,,No
MV00106,Rockstar,2000-08-01,2000,Drama/Music,Music,Hindi,India,Imtiaz Ali,Eros International,180142000.0,200299000.0,115,9.1,8.8,351,74.76,Not Available,No,,Movie,18+,4,,No
MV00107,Master,2024-08-23,2024,Action/Drama,Drama,Tamil,India,Lokesh Kanagaraj,XB Film Creators,5532000.0,32238396.0,157,6.7,7.1,14896,46.76,JioCinema,Yes,2024-12-30,Series,U/A,2,DC Universe,Yes
MV00108,Kahaani,2006-12-23,2006,Mystery/Thriller,Thriller,Hindi,India,Sujoy Ghosh,Bound Script Production,11018000.0,123279172.0,119,8.7,8.7,4248,69.28,Prime Video,Yes,2007-07-23,Movie,16+,4,Harry Potter,Yes
MV00109,Titanic,2008-09-15,2008,Romance/Drama,Drama,English,USA,James Cameron,20th Century Fox,27508000.0,205787000.0,122,6.2,6.8,7203,25.44,Hulu,Yes,2008-12-08,Movie,U/A,1,,No
MV00110,Drishyam,2023-10-23,2023,Crime/Thriller,Thriller,Hindi,India,Nishikant Kamat,Panorama Studios,109994000.0,40811000.0,144,8.3,8.2,2965,56.34,ZEE5,Yes,2025-01-10,Movie,18+,4,DC Universe,Yes
MV00111,Dangal,2000-02-01,2000,Biography/Drama,Drama,Hindi,India,Nitesh Tiwari,Aamir Khan Productions,67604000.0,35494000.0,109,7.8,7.3,6190,60.77,Not Available,No,,Movie,18+,3,,No
MV00112,Vikram,2011-01-16,2011,Action/Thriller,Thriller,Tamil,India,Lokesh Kanagaraj,Raaj Kamal Films International,60474000.0,163716000.0,101,7.1,6.8,17017,29.0,Apple TV+,Yes,2011-11-08,Movie,PG-13,0,Marvel Universe,Yes
MV00113,Inception,2007-07-05,2007,Sci-Fi/Thriller,Thriller,English,USA,Christopher Nolan,Warner Bros.,12382000.0,385277011.0,81,7.8,7.5,3261,62.14,Apple TV+,Yes,2008-10-08,Movie,16+,0,,Yes
MV00114,Kantara,2023-04-21,2023,Action/Drama,Drama,Kannada,India,Rishab Shetty,Hombale Films,24256000.0,44814000.0,138,5.6,6.1,54885,56.87,Not Available,No,,Series,18+,3,,Yes
MV00115,Pulp Fiction,2010-10-26,2010,Crime/Drama,Drama,English,USA,Quentin Tarantino,Miramax,5160000.0,177192893.0,95,7.1,7.3,2032,77.71,ZEE5,Yes,2011-07-26,Movie,PG-13,3,Harry Potter,No
